Activity_Id,Landing_Airport, Airline_Name,Operating_Airline_IATA_Code,Landing_Date,Published_Airline,Published_Airline_IATA_Code,GEO_Summary,GEO_Region,Landing_ Aircraft_ Type,Aircraft_Body_Type,Aircraft Manufacturer,Aircraft_Model,Aircraft_Version,Landing_Count,Total_Landed_Weight,Landing_Status
92640,Lehigh Valley International Airport,ABX Air,GB,01-01-21,ABX Air,GB,Domestic,US,Freighter,Narrow Body,McDonnell Douglas,DC-9,30,40,4066000,0
158086,Abilene Regional Airport,ABX Air,GB,02-01-21,ABX Air,GB,Domestic,US,Freighter,Narrow Body,McDonnell Douglas,DC-9,41,1,102000,1
216044,Albuquerque International Sunport,ATA Airlines,TZ,03-01-21,ATA Airlines,TZ,Domestic,US,Passenger,Narrow Body,Boeing,757,200,2,396000,1
98387,Aberdeen Regional Airport,ATA Airlines,TZ,04-01-21,ATA Airlines,TZ,Domestic,US,Passenger,Narrow Body,Boeing,757,300,167,37408000,0
51045,Southwest Georgia Regional Airport,Air Canada,AC,05-01-21,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,767,333,1,320000,1
32844,Nantucket Memorial Airport,Air Canada,AC,06-01-21,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,114,160,21520000,0
18166,Waco Regional Airport,Air Canada,AC,07-01-21,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,211,146,20761200,0
144734,Arcata Airport,Air Canada,AC,08-01-21,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,211,2,343040,1
182582,Atlantic City International Airport,Air China,CA,09-01-21,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,747,400,23,14490000,1
26007,Adak Airport,Air France,AF,10-01-21,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,747,400,31,18855500,0
171538,Kodiak Airport,Air New Zealand,NZ,11-01-21,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,400,14,8820000,1
141949,Alexandria International Airport,AirTran Airways,FL,12-01-21,AirTran Airways,FL,Domestic,US,Passenger,Narrow Body,Boeing,737,700,62,7936000,0
203874,Augusta Regional Airport (Bush Field),Alaska Airlines,AS,13-01-21,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,400,274,33154000,1
154803,King Salmon Airport,Alaska Airlines,AS,14-01-21,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,400,33,3993000,0
188231,Albany International Airport,Alaska Airlines,AS,15-01-21,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,400,85,10285000,1
37509,Waterloo Regional Airport,Alaska Airlines,AS,16-01-21,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,700,34,4392800,0
76103,Rick Husband Amarillo International Airport,Alaska Airlines,AS,17-01-21,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,700,27,3488400,0
146401,Ted Stevens Anchorage International Airport,Alaska Airlines,AS,18-01-21,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,800,1,144000,0
25530,Alpena County Regional Airport,Alaska Airlines,AS,19-01-21,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,800,1,144000,0
204958,Aspen-Pitkin County Airport,Alaska Airlines,AS,20-01-21,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,900,4,585200,0
63592,Hartsfield-Jackson Atlanta International Airport,Alaska Airlines,AS,21-01-21,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,McDonnell Douglas,MD-80,93,7,910000,1
12966,Appleton International Airport,Alaska Airlines,AS,22-01-21,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,,60,7800000,1
11546,Austin-Bergstrom International Airport,Alaska Airlines,AS,23-01-21,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,McDonnell Douglas,MD-80,,31,4030000,0
8081,Asheville Regional Airport,All Nippon Airways,NH,24-01-21,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,777,200ER,31,14260000,0
44464,Wilkes-Barre/Scranton International Airport,American Airlines,AA,25-01-21,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,757,,217,42966000,0
231299,Kalamazoo/Battle Creek International Airport,American Airlines,AA,26-01-21,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,200,87,23490000,1
82005,Bradley International Airport,American Airlines,AA,27-01-21,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,300,155,48050000,1
168902,Bethel Airport,American Airlines,AA,28-01-21,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,83,290,37700000,1
139503,Meadows Field,American Airlines,AA,29-01-21,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,SP,400,52000000,1
113647,Greater Binghamton Airport,American Eagle Airlines,MQ,30-01-21,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,140,152,6277600,1
119690,Bangor International Airport,Ameriflight,A8,31-01-21,Ameriflight,A8,Domestic,US,Freighter,Regional Jet,LearJet,35A,,1,15300,0
114568,Birmingham-Shuttlesworth International Airport,Ameriflight,A8,01-02-21,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Swearingen,SA-227,AC,22,308000,1
178201,Billings Logan International Airport,Ameriflight,A8,02-02-21,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Swearingen,SA-227,AT,8,124000,0
51834,Bismarck Municipal Airport,Asiana Airlines,OZ,03-02-21,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,747,400,4,2664000,0
168740,Bemidji Regional Airport,Asiana Airlines,OZ,04-02-21,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,777,200ER,17,7820000,0
204778,Bellingham International Airport,Astar Air Cargo,ER,05-02-21,Astar Air Cargo,ER,Domestic,US,Freighter,Wide Body,Airbus,A300,,21,6203820,1
91652,Central Illinois Regional Airport at Bloomington-Normal,Astar Air Cargo,ER,06-02-21,Astar Air Cargo,ER,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-8,73,20,5500000,0
216603,Nashville International Airport,Astar Air Cargo,ER,07-02-21,Astar Air Cargo,ER,Domestic,US,Freighter,Turbo Prop,Swearingen,SA-227,L,21,279720,1
143563,Boise Airport (Boise Air Terminal),Atlantic Southeast Airlines,EV,08-02-21,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,700,23,1541000,0
52929,Gen. Edward Lawrence Logan International Airport,BelAir Airlines,BBB,09-02-21,BelAir Airlines,BBB,International,Europe,Passenger,Wide Body,Boeing,767,300,4,1400000,1
160008,Jack Brooks Regional Airport (Southeast Texas Regional),British Airways,BA,10-02-21,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,747,400,62,39060000,0
60752,Brunswick Golden Isles Airport,Cargolux Airlines,CV,11-02-21,Cargolux Airlines,CV,International,Europe,Freighter,Wide Body,Boeing,747,400,9,5994000,1
79617,Rafael Hernández Airport,Cathay Pacific,CX,12-02-21,Cathay Pacific,CX,International,Asia,Freighter,Wide Body,Boeing,747,400,17,11322000,1
175780,Brainerd Lakes Regional Airport,Cathay Pacific,CX,13-02-21,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,747,400,31,19530000,0
2042,Brownsville/South Padre Island International Airport,China Airlines,CI,14-02-21,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,747,400,39,24570000,1
119806,Wiley Post-Will Rogers Memorial Airport,China Airlines,CI,15-02-21,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,747,,27,17982000,0
137256,Bert Mooney Airport,China Cargo Airlines,CK,16-02-21,China Cargo Airlines,CK,International,Asia,Freighter,Wide Body,McDonnell Douglas,MD-11,,13,6129500,0
116513,Baton Rouge Metropolitan Airport,Delta Air Lines,DL,17-02-21,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,737,800,190,27360000,1
34797,Burlington International Airport,Delta Air Lines,DL,18-02-21,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,,172,34056000,1
223714,Buffalo Niagara International Airport,Delta Air Lines,DL,19-02-21,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,200,45,12150000,0
33642,Bob Hope Airport (Hollywood Burbank Airport),Delta Air Lines,DL,20-02-21,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,300,59,17405000,1
232207,Baltimore-Washington International Airport,Delta Air Lines,DL,21-02-21,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,300ER,24,7680000,0
